ID;Name;FAR;UPCAT YEAR;Ucode;RE;RA;S;E;EP;P;PA;Designation;;Prev Test Center;No. of years
4202;;R;2014;CSNSRI;0;0;0;0;1;2;0;P;1624;CSNSRI;3
4201;;A;2016;CFA;0;0;0;0;0;5;0;P;1624;CFA;5
4200;;R;2016;LAW;0;0;0;1;3;0;0;E;1624;LAW;4
4199;;A;2015;LAW;0;0;0;0;0;4;0;P;1624;LAW;4
4198;;A;2016;ACCTG-D;0;0;0;4;0;0;0;E;1624;ACCTG-D;4
4197;;A;2013;ACCTG-D;0;0;0;0;2;0;0;EP;1624;ACCTG-D;2
4196;;A;2012;ACCTG-D;0;0;0;0;1;0;0;EP;1624;ACCTG-D;1
4195;;A;;CS;0;0;0;0;0;0;0;PA;;CS;0
1070;;R;2016;SPMO-S;14;1;0;1;0;6;0;RE;1227;SPMO-S;22
1069;;A;1993;CMC;0;0;0;0;0;1;0;P;1624;CMC;1
1068;;A;2016;BO-SYS;0;0;0;0;0;16;7;P;1624;BO-SYS;23
4361;;;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4360;;R;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4359;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4358;;F;2013;UPLB;1;0;0;0;0;0;0;RE;1004;UPLB;1
4357;;;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4356;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4355;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4354;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4353;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4352;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4351;;A;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4350;;F;2015;UPLB;3;0;0;0;0;0;0;RE;1004;UPLB;3
4349;;F;2015;UPLB;2;0;0;0;0;0;0;RE;1407;UPLB;2
4348;;F;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
4347;;A;;UPLB;0;0;0;0;0;0;0;;;UPLB;0
0568;Alice;F;21162;UPIS;6;0;11;13;2;1;0;SE;1624;UPIS;1
0567;Bob;A;20011;LAWCMP;4;0;0;2;2;6;1;E;1624;LAWCMP;16
4881;David;;2015;UPMLA;0;0;0;0;0;0;0;A;1622;UPMLA;2
4882;Elta;;2015;UPMLA;0;0;0;0;0;0;0;TE;1622;UPMLA;2
4883;;;2015;UPMLA;0;0;2;0;0;0;0;SE;1622;UPMLA;2
3779;;;2012;CSNIP;0;0;0;0;0;0;0;TE;1624;CSNIP;4
3963;;A;2016;CASH-D;0;0;0;0;0;2;0;P;1624;CASH-D;2
3962;;A;2015;CMC;0;0;0;0;0;1;0;P;1624;CMC;2
0390;;;1984;;0;0;0;2;1;1;0;EP;1624;;4
0389;;F;2003;EDUC;8;0;0;4;1;1;0;RE;1022;EDUC;14
0388;;;1984;;0;0;0;0;0;3;0;A;1624;;4
0387;;;1981;;0;0;0;0;0;1;0;P;1624;;1
0386;;A;2007;EDUC;0;5;0;2;0;12;2;E;1624;EDUC;21
0385;;;1982;;0;0;0;1;1;0;0;E;1624;;2
3702;;A;2015;C CTR;0;0;0;0;0;7;0;P;1624;C CTR;7
5080;;F;2015;CSSP;0;0;0;0;1;0;0;EP;1624;CSSP;1
5081;;F;;CSSP;;;;;;;;EP;;CSSP;
5082;;F;;CSSP;;;;;;;;EP;;CSSP;
5083;;F;;CSSP;;;;;;;;EP;;CSSP;
3427;;F;2015;EDUC;4;0;0;4;0;1;0;RE;1321;EDUC;9
3426;;F;;EDUC;0;0;0;0;0;0;0;;;EDUC;0
3425;;F;2007;CSCHEM;0;0;0;1;0;0;0;E;1624;CSCHEM;1
3424;;F;2008;CSCHEM;0;0;0;2;0;0;0;E;1624;CSCHEM;2
0564;;F;2012;UPIS;19;0;2;6;0;1;0;RE;1321;UPIS;28
0992;;F;2015;CAL;21;0;1;1;1;0;0;SE;1624;CAL;24
0991;;A;2014;ENGG;0;0;0;0;0;9;14;PA;1624;ENGG;23
